{'loss': 1.2905, 'learning_rate': 6.958902007792466e-05, 'epoch': 0.38}
{'loss': 0.8815, 'learning_rate': 6.886036557017881e-05, 'epoch': 0.38}
{'loss': 0.9317, 'learning_rate': 6.812701066393124e-05, 'epoch': 0.39}
{'loss': 1.566, 'learning_rate': 6.738913812659912e-05, 'epoch': 0.39}
{'loss': 1.0978, 'learning_rate': 6.664693185148807e-05, 'epoch': 0.4}
{'loss': 1.1773, 'learning_rate': 6.590057681196191e-05, 'epoch': 0.4}
{'loss': 1.0924, 'learning_rate': 6.515025901534364e-05, 'epoch': 0.41}
{'loss': 1.1135, 'learning_rate': 6.439616545655834e-05, 'epoch': 0.41}
{'loss': 1.1085, 'learning_rate': 6.363848407153016e-05, 'epoch': 0.41}
{'loss': 1.7445, 'learning_rate': 6.287740369034485e-05, 'epoch': 0.42}
{'loss': 1.7775, 'learning_rate': 6.211311399018916e-05, 'epoch': 0.42}
{'loss': 1.1594, 'learning_rate': 6.13458054480795e-05, 'epoch': 0.43}
{'loss': 1.3449, 'learning_rate': 6.0575669293390954e-05, 'epoch': 0.43}
{'loss': 1.1181, 'learning_rate': 5.980289746019892e-05, 'epoch': 0.44}
{'loss': 1.2748, 'learning_rate': 5.9027682539445104e-05, 'epoch': 0.45}
{'loss': 1.2644, 'learning_rate': 5.8250217730939973e-05, 'epoch': 0.45}
{'loss': 1.5868, 'learning_rate': 5.747069679521305e-05, 'epoch': 0.46}
{'loss': 1.3909, 'learning_rate': 5.668931400522396e-05, 'epoch': 0.46}
{'loss': 1.2192, 'learning_rate': 5.5906264097945407e-05, 'epoch': 0.47}
{'loss': 1.3027, 'learning_rate': 5.5121742225830665e-05, 'epoch': 0.47}
{'loss': 1.321, 'learning_rate': 5.433594390817756e-05, 'epoch': 0.47}
{'loss': 1.3963, 'learning_rate': 5.35490649824008e-05, 'epoch': 0.48}
{'loss': 1.7202, 'learning_rate': 5.276130155522541e-05, 'epoch': 0.48}
{'loss': 2.0786, 'learning_rate': 5.1972849953812644e-05, 'epoch': 0.49}
{'loss': 1.2073, 'learning_rate': 5.1183906676831197e-05, 'epoch': 0.49}
{'loss': 1.0746, 'learning_rate': 5.039466834548568e-05, 'epoch': 0.5}
{'loss': 1.1318, 'learning_rate': 4.960533165451435e-05, 'epoch': 0.51}
{'loss': 1.6057, 'learning_rate': 4.8816093323168815e-05, 'epoch': 0.51}
{'loss': 1.5852, 'learning_rate': 4.802715004618737e-05, 'epoch': 0.52}
{'loss': 1.5791, 'learning_rate': 4.7238698444774595e-05, 'epoch': 0.52}
{'loss': 1.0527, 'learning_rate': 4.64509350175992e-05, 'epoch': 0.53}
{'loss': 1.1974, 'learning_rate': 4.566405609182247e-05, 'epoch': 0.53}
{'loss': 1.213, 'learning_rate': 4.4878257774169346e-05, 'epoch': 0.54}
{'loss': 1.0633, 'learning_rate': 4.4093735902054605e-05, 'epoch': 0.54}
{'loss': 1.4486, 'learning_rate': 4.331068599477605e-05, 'epoch': 0.55}
{'loss': 1.0405, 'learning_rate': 4.2529303204786953e-05, 'epoch': 0.55}
{'loss': 2.0704, 'learning_rate': 4.1749782269060045e-05, 'epoch': 0.56}
{'loss': 1.201, 'learning_rate': 4.097231746055491e-05, 'epoch': 0.56}
{'loss': 0.8462, 'learning_rate': 4.01971025398011e-05, 'epoch': 0.56}
{'loss': 1.5481, 'learning_rate': 3.942433070660905e-05, 'epoch': 0.57}
{'loss': 1.9643, 'learning_rate': 3.8654194551920485e-05, 'epoch': 0.57}
{'loss': 0.8137, 'learning_rate': 3.788688600981085e-05, 'epoch': 0.58}
{'loss': 1.1779, 'learning_rate': 3.712259630965518e-05, 'epoch': 0.58}
{'loss': 1.6401, 'learning_rate': 3.636151592846985e-05, 'epoch': 0.59}
{'loss': 2.3355, 'learning_rate': 3.560383454344168e-05, 'epoch': 0.59}
{'loss': 1.5926, 'learning_rate': 3.484974098465636e-05, 'epoch': 0.6}
{'loss': 1.5542, 'learning_rate': 3.409942318803809e-05, 'epoch': 0.6}
{'loss': 1.1026, 'learning_rate': 3.335306814851196e-05, 'epoch': 0.61}
{'loss': 1.348, 'learning_rate': 3.261086187340088e-05, 'epoch': 0.61}
{'loss': 1.3255, 'learning_rate': 3.187298933606878e-05, 'epoch': 0.62}
{'loss': 1.1348, 'learning_rate': 3.11396344298212e-05, 'epoch': 0.62}
{'loss': 1.1157, 'learning_rate': 3.0410979922075343e-05, 'epoch': 0.63}
